;PGIGER;PGIUK;PNGER;PNUK;CPIGER;CPIUK;EURGBP
Jan-1999;83,9;108,7;3,1321;5,7985;83,3;79,8;0,703034
Feb-1999;82,8;108,8;3,0934;5,4328;83,5;79,9;0,688505
Mar-1999;83,1;109,7;3,0467;5,303;83,6;80,4;0,67127
Apr-1999;83,7;108,3;2,6965;5,2313;83,9;80,7;0,665018
May-1999;84;109,3;2,579;5,2482;83,9;81;0,658252
Jun-1999;84,3;110,1;2,6267;5,1234;84;80,9;0,650255
Jul-1999;84,6;110,4;2,6765;5,0657;84,4;80,4;0,657791
Aug-1999;85,4;111,9;2,695;5,1795;84,4;80,6;0,660136
Sep-1999;85,4;112,5;2,7267;5,3168;84,2;81;0,646832
Oct-1999;86,2;112,2;3,3757;5,9388;84,1;80,9;0,645871
Nov-1999;86,3;112,6;3,4677;5,7824;84,2;81;0,637018
Dec-1999;86,4;111,6;3,446;5,9656;84,5;81,2;0,6263
Jan-2000;85,1;111,6;3,3431;6,0578;84,7;80,5;0,618338
Feb-2000;87,2;112,6;3,5368;6,1492;84,8;80,7;0,614657
Mar-2000;87,3;112,8;3,747;6,1458;84,8;80,9;0,610626
Apr-2000;88,4;112,3;3,9253;6,2129;84,8;81,2;0,598017
May-2000;90,6;112,6;4,362;6,2289;84,7;81,4;0,601509
Jun-2000;88,5;113,2;4,5017;6,1423;85,1;81,5;0,629268
Jul-2000;90;112;4,5829;6,1146;85,5;81,1;0,623043
Aug-2000;90,9;113,1;4,7771;6,1365;85,2;81,1;0,607096
Sep-2000;91;112,2;4,8528;6,1191;85,5;81,8;0,607729
Oct-2000;90,8;112,3;5,0413;6,081;85,3;81,7;0,589327
Nov-2000;91,4;113,1;5,092;6,0007;85,4;81,9;0,600386
Dec-2000;92,1;113,1;4,9392;5,8882;86,3;81,9;0,613421
Jan-2001;91,8;112,8;4,7707;5,7642;85,8;81,2;0,6348
Feb-2001;92,8;112,2;4,7558;5,6854;86,3;81,3;0,633995
Mar-2001;91,3;112;4,7086;5,473;86,3;81,6;0,629145
Apr-2001;89,6;111;4,682;5,3323;86,6;82,1;0,621684
May-2001;90,7;110,7;4,6367;5,1727;87,1;82,7;0,613282
Jun-2001;91,1;111;4,4536;5,189;87,2;82,9;0,608905
Jul-2001;88,3;110;4,4671;5,1917;87,3;82,3;0,608568
Aug-2001;90,8;111,8;4,3535;4,9269;87,2;82,6;0,626717
Sep-2001;89,5;110,5;3,9829;4,6485;87,1;82,8;0,62291
Oct-2001;88;109,4;3,5999;4,3594;86,7;82,7;0,623935
Nov-2001;86,9;108,9;3,3857;3,9326;86,5;82,6;0,618302
Dec-2001;87,4;109,4;3,3449;3,9852;87,5;82,7;0,619508
Jan-2002;87,9;108,9;3,3388;3,978;87,6;82,5;0,616593
Feb-2002;88,1;109,2;3,3571;3,9805;87,9;82,6;0,611602
Mar-2002;88,3;109,9;3,3908;4,0609;88;82,9;0,615735
Apr-2002;88,4;109,7;3,4069;4,1086;88;83,2;0,614071
May-2002;87,5;111,1;3,4671;4,0795;88;83,4;0,628227
Jun-2002;90;105,7;3,464;4,112;88;83,4;0,64405
Jul-2002;88,3;108,4;3,41;3,9925;88,3;83,2;0,6387
Aug-2002;90,3;109;3,3519;3,9174;88,1;83,4;0,636332
Sep-2002;89,2;109,2;3,3101;3,9315;88;83,6;0,630588
Oct-2002;88,5;108,5;3,2613;3,9015;87,9;83,8;0,629941
Nov-2002;90,1;108,3;3,1241;3,9091;87,5;83,8;0,637086
Dec-2002;88,5;108,5;2,941;3,9488;88,5;84,1;0,642131
Jan-2003;89,2;107,2;2,8318;3,9132;88,4;83,6;0,657109
Feb-2003;89,2;108,2;2,6875;3,6888;88,9;83,9;0,669773
Mar-2003;89;107,8;2,53;3,5838;89,1;84,1;0,682548
Apr-2003;88,7;107,4;2,5333;3,576;88,8;84,5;0,68902
May-2003;88;107,1;2,4005;3,5665;88,6;84,5;0,713219
Jun-2003;87,6;107,9;2,1519;3,5702;88,7;84,3;0,70224
Jul-2003;89,7;108,4;2,13;3,42;89;84,3;0,700448
Aug-2003;87,5;108,4;2,1404;3,4518;89,1;84,6;0,699193
Sep-2003;87,2;108,2;2,1473;3,6311;88,9;84,8;0,696927
Oct-2003;89,9;109,2;2,1436;3,727;88,8;84,9;0,69763
Nov-2003;90,8;108,4;2,159;3,9085;88,7;84,9;0,692777
Dec-2003;91,2;109,1;2,1463;3,949;89,5;85,2;0,701957
Jan-2004;90,5;108,8;2,0895;3,986;89,5;84,7;0,692145
Feb-2004;91;108,3;2,0706;4,101;89,6;84,9;0,676898
Mar-2004;90,3;110,7;2,0288;4,2328;90,1;85,1;0,671241
Apr-2004;91,7;110;2,0488;4,3288;90,3;85,4;0,665325
May-2004;92,7;109,6;2,0859;4,4555;90,5;85,7;0,671574
